Target: http://10.13.38.12:80/FUZZ
Total requests: 4614
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=301      1 L	      10 W	    151 Ch	  ""
00002:  C=301      1 L	      10 W	    164 Ch	  ".bash_history"
00003:  C=301      1 L	      10 W	    158 Ch	  ".bashrc"
00004:  C=301      1 L	      10 W	    157 Ch	  ".cache"
00006:  C=301      1 L	      10 W	    155 Ch	  ".cvs"
00007:  C=301      1 L	      10 W	    161 Ch	  ".cvsignore"
00008:  C=301      1 L	      10 W	    159 Ch	  ".forward"
00009:  C=301      1 L	      10 W	    160 Ch	  ".git/HEAD"
00010:  C=301      1 L	      10 W	    159 Ch	  ".history"
00011:  C=301      1 L	      10 W	    155 Ch	  ".hta"
00012:  C=301      1 L	      10 W	    160 Ch	  ".htaccess"
00013:  C=301      1 L	      10 W	    160 Ch	  ".htpasswd"
00014:  C=301      1 L	      10 W	    159 Ch	  ".listing"
00015:  C=301      1 L	      10 W	    160 Ch	  ".listings"
00016:  C=301      1 L	      10 W	    165 Ch	  ".mysql_history"
00017:  C=301      1 L	      10 W	    158 Ch	  ".passwd"
00018:  C=301      1 L	      10 W	    156 Ch	  ".perf"
00019:  C=301      1 L	      10 W	    159 Ch	  ".profile"
00020:  C=301      1 L	      10 W	    158 Ch	  ".rhosts"
00021:  C=301      1 L	      10 W	    162 Ch	  ".sh_history"
00022:  C=301      1 L	      10 W	    155 Ch	  ".ssh"
00023:  C=301      1 L	      10 W	    162 Ch	  ".subversion"
00024:  C=301      1 L	      10 W	    155 Ch	  ".svn"
00025:  C=301      1 L	      10 W	    163 Ch	  ".svn/entries"
00026:  C=301      1 L	      10 W	    155 Ch	  ".swf"
00027:  C=301      1 L	      10 W	    155 Ch	  ".web"
00028:  C=301      1 L	      10 W	    152 Ch	  "@"
00029:  C=301      1 L	      10 W	    152 Ch	  "_"
00030:  C=301      1 L	      10 W	    155 Ch	  "_adm"
00031:  C=301      1 L	      10 W	    157 Ch	  "_admin"
00032:  C=301      1 L	      10 W	    156 Ch	  "_ajax"
00033:  C=301      1 L	      10 W	    159 Ch	  "_archive"
00034:  C=301      1 L	      10 W	    158 Ch	  "_assets"
00035:  C=301      1 L	      10 W	    158 Ch	  "_backup"
00036:  C=301      1 L	      10 W	    156 Ch	  "_baks"
00037:  C=301      1 L	      10 W	    159 Ch	  "_borders"
00038:  C=301      1 L	      10 W	    157 Ch	  "_cache"
00039:  C=301      1 L	      10 W	    160 Ch	  "_catalogs"
00040:  C=301      1 L	      10 W	    156 Ch	  "_code"
00041:  C=301      1 L	      10 W	    158 Ch	  "_common"
00042:  C=301      1 L	      10 W	    156 Ch	  "_conf"
00043:  C=301      1 L	      10 W	    158 Ch	  "_config"
00044:  C=301      1 L	      10 W	    155 Ch	  "_css"
00045:  C=301      1 L	      10 W	    156 Ch	  "_data"
00046:  C=301      1 L	      10 W	    160 Ch	  "_database"
