Timestamp             Module      Message                                           

25/11/20 16:35:03     Nmap        Starting Quick Nmap Scan
25/11/20 16:36:31     Nmap        Finished Quick Nmap Scan
25/11/20 16:36:31     Nmap        Starting Full Nmap Scan
25/11/20 16:39:17     Nmap        Finished Full Nmap Scan
25/11/20 16:39:17     Web         Starting brute forcing directories
25/11/20 16:39:25     Web         Finished brute forcing directories
25/11/20 16:39:25     Web         Starting brute forcing files against IIS server
25/11/20 16:40:31     Web         Finished brute forcing files against IIS server
25/11/20 16:40:31     Web         Starting Nikto scan 
25/11/20 16:45:09     Web         Finished Nikto scan 
25/11/20 16:45:09     Web         Starting brute forcing directories
25/11/20 16:46:40     Web         Finished brute forcing directories
25/11/20 16:46:40     Web         Starting Nikto scan 
25/11/20 16:47:01     Web         Finished Nikto scan 
25/11/20 16:47:01     Vuln        Starting CVE scan   
25/11/20 16:48:05     Vuln        Finished CVE scan   
25/11/20 16:48:05     Vuln        Starting vuln scan  
25/11/20 16:56:48     Vuln        Finished vuln scan  
