Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00010:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .bak"
00011:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .old"
00012:  C=403     29 L	      92 W	   1233 Ch	  ".bash_history - .conf"
00013:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .php"
00014:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .html"
00015:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .txt"
00017:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .old"
00018:  C=403     29 L	      92 W	   1233 Ch	  ".bashrc - .conf"
00019:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .php"
00020:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .html"
00021:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .txt"
00022:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .bak"
00023:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .old"
00024:  C=403     29 L	      92 W	   1233 Ch	  ".cache - .conf"
00025:  C=403     29 L	      92 W	   1233 Ch	  ".config - .php"
00026:  C=403     29 L	      92 W	   1233 Ch	  ".config - .html"
00027:  C=403     29 L	      92 W	   1233 Ch	  ".config - .txt"
00028:  C=403     29 L	      92 W	   1233 Ch	  ".config - .bak"
00029:  C=403     29 L	      92 W	   1233 Ch	  ".config - .old"
00030:  C=403     29 L	      92 W	   1233 Ch	  ".config - .conf"
00031:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .php"
00032:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .html"
00033:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .txt"
00034:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .bak"
00035:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .old"
00036:  C=403     29 L	      92 W	   1233 Ch	  ".cvs - .conf"
