Target: http://10.10.10.71:8080/FUZZ
Total requests: 220546
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=200    106 L	     178 W	  10065 Ch	  "index"
00645:  C=200    106 L	     178 W	  10065 Ch	  "Index"
01677:  C=200    344 L	    2576 W	  197251 Ch	  "favicon"
05071:  C=200    106 L	     178 W	  10065 Ch	  "INDEX"
06201:  C=301      9 L	      29 W	    328 Ch	  "joomla"
  |_ Enqueued response for recursion (level=1)
09819:  C=301      9 L	      29 W	    330 Ch	  "complain"
  |_ Enqueued response for recursion (level=1)
39638:  C=301      9 L	      29 W	    328 Ch	  "Joomla"
  |_ Enqueued response for recursion (level=1)
45226:  C=200    106 L	     178 W	  10065 Ch	  ""
  |_ Enqueued response for recursion (level=1)
267382:  C=301      9 L	      29 W	    342 Ch	  "joomla - Administrator"
367430:  C=301      9 L	      29 W	    332 Ch	  "joomla - CLI"
395867:  C=200    159 L	     427 W	   6457 Ch	  "joomla"
403493:  C=200      0 L	       0 W	      0 Ch	  "joomla - Configuration"
405630:  C=200     72 L	     540 W	   4872 Ch	  "joomla - Readme"
408610:  C=301      9 L	      29 W	    337 Ch	  "joomla - Includes"
408954:  C=301      9 L	      29 W	    334 Ch	  "joomla - MEDIA"
413167:  C=200     72 L	     540 W	   4872 Ch	  "joomla - ReadMe"
414014:  C=200     32 L	     111 W	    836 Ch	  "joomla - Robots"
417083:  C=301      9 L	      29 W	    334 Ch	  "joomla - Cache"
420423:  C=301      9 L	      29 W	    332 Ch	  "joomla - cli"
428137:  C=200     80 L	     493 W	   3005 Ch	  "joomla - htaccess"
430791:  C=301      9 L	      29 W	    336 Ch	  "joomla - Plugins"
432292:  C=200      0 L	       0 W	      0 Ch	  "joomla - configuration"
435373:  C=301      9 L	      29 W	    336 Ch	  "joomla - Modules"
435418:  C=301      9 L	      29 W	    342 Ch	  "joomla - administrator"
435394:  C=200    339 L	    2968 W	  18092 Ch	  "joomla - License"
435943:  C=301      9 L	      29 W	    337 Ch	  "joomla - Language"
436991:  C=301      9 L	      29 W	    339 Ch	  "joomla - Components"
437179:  C=301      9 L	      29 W	    338 Ch	  "joomla - Libraries"
437434:  C=301      9 L	      29 W	    335 Ch	  "joomla - IMAGES"
437560:  C=301      9 L	      29 W	    336 Ch	  "joomla - layouts"
437812:  C=200    339 L	    2968 W	  18092 Ch	  "joomla - LICENSE"
437870:  C=301      9 L	      29 W	    332 Ch	  "joomla - tmp"
438828:  C=301      9 L	      29 W	    338 Ch	  "joomla - Templates"
439342:  C=200     32 L	     111 W	    836 Ch	  "joomla - robots"
439377:  C=200     72 L	     540 W	   4872 Ch	  "joomla - readme"
439854:  C=301      9 L	      29 W	    334 Ch	  "joomla - Media"
439858:  C=301      9 L	      29 W	    338 Ch	  "joomla - libraries"
440024:  C=301      9 L	      29 W	    334 Ch	  "joomla - cache"
440102:  C=301      9 L	      29 W	    339 Ch	  "joomla - components"
440210:  C=200     72 L	     540 W	   4872 Ch	  "joomla - README"
440237:  C=301      9 L	      29 W	    337 Ch	  "joomla - language"
440469:  C=301      9 L	      29 W	    337 Ch	  "joomla - includes"
440428:  C=200    339 L	    2968 W	  18092 Ch	  "joomla - license"
440588:  C=301      9 L	      29 W	    336 Ch	  "joomla - plugins"
440624:  C=301      9 L	      29 W	    332 Ch	  "joomla - bin"
440904:  C=301      9 L	      29 W	    335 Ch	  "joomla - Images"
440962:  C=301      9 L	      29 W	    336 Ch	  "joomla - modules"
441026:  C=301      9 L	      29 W	    338 Ch	  "joomla - templates"
441027:  C=301      9 L	      29 W	    334 Ch	  "joomla - media"
441091:  C=301      9 L	      29 W	    335 Ch	  "joomla - images"
487928:  C=301      9 L	      29 W	    342 Ch	  "Joomla - Administrator"
587976:  C=301      9 L	      29 W	    332 Ch	  "Joomla - CLI"
616413:  C=200    159 L	     427 W	   6457 Ch	  "Joomla"
624039:  C=200      0 L	       0 W	      0 Ch	  "Joomla - Configuration"
626176:  C=200     72 L	     540 W	   4872 Ch	  "Joomla - Readme"
629156:  C=301      9 L	      29 W	    337 Ch	  "Joomla - Includes"
629500:  C=301      9 L	      29 W	    334 Ch	  "Joomla - MEDIA"
633713:  C=200     72 L	     540 W	   4872 Ch	  "Joomla - ReadMe"
634560:  C=200     32 L	     111 W	    836 Ch	  "Joomla - Robots"
637629:  C=301      9 L	      29 W	    334 Ch	  "Joomla - Cache"
640969:  C=301      9 L	      29 W	    332 Ch	  "Joomla - cli"
648683:  C=200     80 L	     493 W	   3005 Ch	  "Joomla - htaccess"
651337:  C=301      9 L	      29 W	    336 Ch	  "Joomla - Plugins"
652838:  C=200      0 L	       0 W	      0 Ch	  "Joomla - configuration"
655919:  C=301      9 L	      29 W	    336 Ch	  "Joomla - Modules"
655940:  C=200    339 L	    2968 W	  18092 Ch	  "Joomla - License"
655964:  C=301      9 L	      29 W	    342 Ch	  "Joomla - administrator"
